white,black,result,time,illegal_move,moves,fen,white_elo,black_elo,eval
gpt-3.5-turbo-instruct,stockfish,0,77.581621498,No valid suggestions: || ,"['e2e4', 'd7d6', 'd2d4', 'c7c5', 'b1c3', 'g8f6', 'g1f3', 'c8d7', 'd4d5', 'a7a6', 'a2a4', 'e7e6', 'f1e2', 'd8c7', 'e1g1', 'f8e7', 'f1e1', 'e8g8', 'h2h3', 'h7h6', 'c1e3', 'f8e8', 'f3d2', 'e6d5', 'e4d5', 'e7f8', 'd2c4', 'c7d8', 'd1d2', 'd7f5', 'a4a5', 'b8d7', 'e3f4', 'b7b5', 'a5b6', 'g7g5', 'f4d6', 'f8d6', 'c4d6', 'f5h3', 'g2h3', 'e8f8', 'c3e4', 'f6e4', 'd6e4', 'f7f5', 'd2a5', 'f5e4', 'e1f1', 'a8b8', 'e2a6', 'b8b6', 'a6c4', 'd7e5', 'c4a2', 'g8h8', 'a5c3', 'd8f6']",5r1k/8/1r3q1p/2pPn1p1/4p3/2Q4P/BPP2P2/R4RK1 w - - 6 30,0,1200,"{'type': 'cp', 'value': -154}"
stockfish,gpt-3.5-turbo-instruct,1,9.191596663999999,No valid suggestions: |2||2,"['g1f3', 'g8f6', 'a2a3']",rnbqkb1r/pppppppp/5n2/8/8/P4N2/1PPPPPPP/RNBQKB1R b KQkq - 0 2,1200,0,"{'type': 'cp', 'value': -14}"
gpt-3.5-turbo-instruct,stockfish,0,49.989359230000005,No valid suggestions: || Be2 g5 20,"['e2e4', 'e7e5', 'g1f3', 'd7d5', 'f3e5', 'd8f6', 'd2d4', 'f8d6', 'e4d5', 'g8e7', 'f1b5', 'c8d7', 'b5d7', 'b8d7', 'e5d7', 'e8d7', 'e1g1', 'e7d5', 'c2c4', 'f6h4', 'g2g3', 'h4h3', 'c4d5', 'f7f5', 'b1c3', 'h7h5', 'd1f3', 'h5h4', 'f3g2', 'h3g2', 'g1g2', 'f5f4', 'g3g4', 'a8e8', 'g2f3', 'h8f8']",4rr2/pppk2p1/3b4/3P4/3P1pPp/2N2K2/PP3P1P/R1B2R2 w - - 3 19,0,1200,"{'type': 'cp', 'value': 514}"
gpt-3.5-turbo-instruct,stockfish,1.0,50.257476494,,"['e2e4', 'e7e6', 'g1f3', 'g8f6', 'b1c3', 'a7a6', 'd2d4', 'f8b4', 'e4e5', 'f6g8', 'f1d3', 'b4c3', 'b2c3', 'b8c6', 'e1g1', 'f7f5', 'e5f6', 'g8f6', 'c1a3', 'b7b6', 'f3e5', 'c6e7', 'd1f3', 'e7d5', 'c3c4', 'c7c6', 'c4d5', 'h8f8', 'd3h7', 'f8h8', 'h7g6']",r1bqk2r/3p2p1/ppp1pnB1/3PN3/3P4/B4Q2/P1P2PPP/R4RK1 b q - 2 16,0,1200,
stockfish,gpt-3.5-turbo-instruct,1,14.687700215,No valid suggestions: |3|,"['d2d4', 'g8f6', 'c2c4', 'e7e6', 'a2a3']",rnbqkb1r/pppp1ppp/4pn2/8/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,1200,0,"{'type': 'cp', 'value': 0}"
stockfish,gpt-3.5-turbo-instruct,1,72.42096307999999,No valid suggestions: |,"['g1f3', 'g8f6', 'd2d3', 'g7g6', 'e2e3', 'f8g7', 'h2h3', 'e8g8', 'f1e2', 'd7d6', 'd3d4', 'b8d7', 'c2c4', 'c7c5', 'a2a4', 'c5d4', 'f3d4', 'a7a6', 'b1c3', 'e7e6', 'e1g1', 'b7b6', 'd4c6', 'd8c7', 'e2f3', 'c8b7', 'c6e7', 'g8h8', 'f3b7', 'c7b7', 'd1d6', 'd7c5', 'e7c6', 'f8c8', 'c6e7', 'c8d8', 'd6d8']",r2Q3k/1q2Npbp/pp2pnp1/2n5/P1P5/2N1P2P/1P3PP1/R1B2RK1 b - - 0 19,1140.0,0,"{'type': 'cp', 'value': -556}"
stockfish,gpt-3.5-turbo-instruct,1,79.73897190900001,No valid suggestions: |,"['e2e3', 'g8f6', 'd2d3', 'd7d5', 'd3d4', 'c8f5', 'f1d3', 'f5d3', 'c2d3', 'e7e6', 'a2a3', 'f8e7', 'b1c3', 'e8g8', 'c1d2', 'c7c5', 'a1b1', 'c5d4', 'e3d4', 'b8c6', 'd2e3', 'a7a6', 'h2h3', 'h7h6', 'b1c1', 'e7d6', 'c3a4', 'b7b5', 'c1c6', 'b5a4', 'c6c2', 'a8b8', 'b2b4', 'a4b3', 'c2b2', 'd6a3', 'b2b1']",1r1q1rk1/5pp1/p3pn1p/3p4/3P4/bp1PB2P/5PP1/1R1QK1NR b K - 1 19,1140.0,0,"{'type': 'cp', 'value': -513}"
stockfish,gpt-3.5-turbo-instruct,1,89.19440416500001,No valid suggestions: || ,"['e2e4', 'e7e5', 'a2a3', 'b8c6', 'g1f3', 'g8f6', 'b1c3', 'f8c5', 'f1e2', 'e8g8', 'd2d3', 'd7d6', 'e1g1', 'a7a6', 'h2h3', 'c8d7', 'c1g5', 'h7h6', 'g5f6', 'd8f6', 'c3d5', 'f6d8', 'g1h2', 'c6e7', 'd5e7', 'd8e7', 'd1e1', 'd7c6', 'a1d1', 'd6d5', 'e4d5', 'c6d5', 'c2c4', 'd5f3', 'e2f3', 'c7c6', 'f3e4', 'f8e8', 'g2g3', 'e7e6', 'h3h4']",r3r1k1/1p3pp1/p1p1q2p/2b1p3/2P1B2P/P2P2P1/1P3P1K/3RQR2 b - - 0 21,1140.0,0,"{'type': 'cp', 'value': -102}"
stockfish,gpt-3.5-turbo-instruct,1,61.812532051000005,No valid suggestions: |,"['g1f3', 'g8f6', 'e2e3', 'g7g6', 'h2h3', 'd7d6', 'f1e2', 'f8g7', 'e2b5', 'c8d7', 'b5e2', 'e8g8', 'd2d4', 'c7c5', 'a2a4', 'b8c6', 'e1g1', 'b7b6', 'd4d5', 'c6a5', 'b1c3', 'a7a6', 'f1e1', 'f6d5', 'd1d5']",r2q1rk1/3bppbp/pp1p2p1/n1pQ4/P7/2N1PN1P/1PP1BPP1/R1B1R1K1 b - - 0 13,1140.0,0,"{'type': 'cp', 'value': 319}"
gpt-3.5-turbo-instruct,stockfish,0,91.21611647,No valid suggestions: ||28,"['e2e4', 'e7e6', 'd2d4', 'b7b6', 'b1c3', 'c7c5', 'd4d5', 'a7a6', 'g1f3', 'c8b7', 'f1d3', 'g8f6', 'e1g1', 'b6b5', 'd5e6', 'f7e6', 'e4e5', 'c5c4', 'd3e2', 'f6e4', 'c3e4', 'b7e4', 'c1g5', 'd8c7', 'f3d4', 'c7e5', 'f2f4', 'e5c5', 'f4f5', 'e4f5', 'g1h1', 'b8c6', 'd4f5', 'c5e5', 'e2g4', 'g7g6', 'd1f3', 'g6f5', 'g4f5', 'e6f5', 'f1e1', 'f8g7', 'g5h6', 'e8g8', 'h6g7', 'e5g7', 'f3d5', 'g8h8', 'd5d6', 'f5f4', 'd6d5', 'a8d8']",3r1r1k/3p2qp/p1n5/1p1Q4/2p2p2/8/PPP3PP/R3R2K w - - 2 27,0,1140.0,"{'type': 'cp', 'value': -566}"
gpt-3.5-turbo-instruct,stockfish,0,92.245172424,No valid suggestions: |21||22|g4 Qg6 ,"['e2e4', 'd7d6', 'd2d4', 'e7e5', 'g1f3', 'd8e7', 'c2c4', 'e5d4', 'd1d4', 'b8c6', 'd4e3', 'f7f5', 'b1c3', 'e8d8', 'f1d3', 'e7e8', 'e1g1', 'g8f6', 'f1e1', 'f5e4', 'c3e4', 'f8e7', 'f3g5', 'c8d7', 'c1d2', 'f6g4', 'e3g3', 'g4e5', 'd2c3', 'e5d3', 'g3d3', 'e8g6', 'a1d1', 'e7g5', 'e4g5', 'g6g5', 'c3d2', 'g5f5', 'd3g3', 'h7h6']",r2k3r/pppb2p1/2np3p/5q2/2P5/6Q1/PP1B1PPP/3RR1K1 w - - 0 21,0,1056.0,"{'type': 'cp', 'value': -263}"
gpt-3.5-turbo-instruct,stockfish,0.0,98.171721101,,"['e2e4', 'a7a6', 'd2d4', 'e7e6', 'g1f3', 'g8f6', 'f1d3', 'd7d6', 'e1g1', 'c7c5', 'c2c3', 'f8e7', 'b1d2', 'd8c7', 'f1e1', 'c5d4', 'c3d4', 'e8g8', 'e4e5', 'f6d5', 'a2a3', 'b7b5', 'h2h4', 'd6e5', 'd4e5', 'f8d8', 'd1e2', 'f7f5', 'e5f6', 'g7f6', 'd2e4', 'g8h8', 'c1h6', 'b8c6', 'd3b1', 'e6e5', 'h4h5', 'c8f5', 'e4g3', 'f5b1', 'a1b1', 'd8g8', 'g3f5', 'c7d7', 'f5e3', 'd7h3', 'f3h2', 'd5e3', 'h6e3', 'h3g2']",r5rk/4b2p/p1n2p2/1p2p2P/8/P3B3/1P2QPqN/1R2R1K1 w - - 0 26,0,1056.0,
stockfish,gpt-3.5-turbo-instruct,1,69.861465998,No valid suggestions: |,"['g1f3', 'g8f6', 'e2e3', 'g7g6', 'd2d4', 'f8g7', 'h2h3', 'e8g8', 'a2a3', 'd7d6', 'f1e2', 'b8d7', 'a3a4', 'a7a5', 'c2c4', 'e7e5', 'b2b3', 'e5d4', 'f3d4', 'f8e8', 'b1c3', 'c7c6', 'a1a2', 'g7f8', 'a2c2', 'd7b6', 'c1b2', 'd6d5', 'e1g1', 'd5c4', 'c2d2', 'c4b3', 'd4c6']",r1bqrbk1/1p3p1p/1nN2np1/p7/P7/1pN1P2P/1B1RBPP1/3Q1RK1 b - - 0 17,1056.0,0,"{'type': 'cp', 'value': 81}"
