white,black,result,time,illegal_move,moves,fen,white_elo,black_elo,eval
stockfish,gpt-3.5-turbo-instruct,1,54.7806584,No valid suggestions: |,"['d2d4', 'e7e6', 'g1f3', 'g8f6', 'g2g3', 'd7d5', 'c2c4', 'b8d7', 'c1f4', 'f8d6', 'f4d6', 'c7d6', 'f3d2', 'e8g8', 'b1c3', 'd5c4', 'd2c4', 'd6d5', 'c4a3', 'd8b6', 'b2b3', 'b6a5', 'a3b5', 'a7a6', 'b3b4', 'a5b4', 'a1b1', 'b4a5', 'a2a4', 'a6b5', 'd1c2', 'b5a4', 'b1b5', 'a5a6', 'e2e3']",r1b2rk1/1p1n1ppp/q3pn2/1R1p4/p2P4/2N1P1P1/2Q2P1P/4KB1R b K - 0 18,1200,1200,"{'type': 'cp', 'value': -616}"
gpt-3.5-turbo-instruct,stockfish,0,74.394472057,No valid suggestions: || ,"['e2e4', 'd7d5', 'e4d5', 'd8d5', 'b1c3', 'd5d7', 'd2d4', 'e7e6', 'g1f3', 'f8b4', 'f1d3', 'g8e7', 'e1g1', 'b8c6', 'c1e3', 'b7b6', 'a2a3', 'b4d6', 'c3e4', 'e8g8', 'e4d6', 'c7d6', 'c2c4', 'h7h6', 'd3c2', 'c8a6', 'b2b3', 'd6d5', 'd1d3', 'f7f5', 'f3e5', 'c6e5', 'd4e5', 'e7g6', 'd3c3', 'd5c4', 'b3c4', 'a8c8', 'c3b4', 'g6e5', 'f1d1', 'd7c6', 'b4d6', 'g8h7', 'c4c5', 'b6c5', 'd6c6', 'c8c6']",5r2/p5pk/b1r1p2p/2p1np2/8/P3B3/2B2PPP/R2R2K1 w - - 0 25,1200,1200,"{'type': 'cp', 'value': -104}"
stockfish,gpt-3.5-turbo-instruct,1,57.624432228,No valid suggestions: |,"['d2d4', 'g8f6', 'c2c4', 'e7e6', 'a2a3', 'd7d5', 'c1g5', 'c7c5', 'd1a4', 'b8c6', 'e2e3', 'c5d4', 'e3d4', 'c8d7', 'c4d5', 'c6d4', 'a4d4', 'd8a5', 'd4d2', 'a5b6', 'b1c3', 'f8e7', 'g5f6', 'e7f6', 'a1d1', 'e8g8', 'f1d3', 'f8d8', 'g1e2', 'e6d5', 'e1g1', 'd5d4', 'c3d5', 'b6d6', 'd5f6', 'd6f6', 'd1c1', 'a8c8', 'c1c8', 'd8c8', 'f1c1', 'c8e8', 'h2h3']",4r1k1/pp1b1ppp/5q2/8/3p4/P2B3P/1P1QNPP1/2R3K1 b - - 0 22,1200,1200,"{'type': 'cp', 'value': 442}"
gpt-3.5-turbo-instruct,stockfish,0,70.781978229,No valid suggestions: || ,"['e2e4', 'e7e6', 'g1f3', 'g8f6', 'd2d4', 'f6e4', 'b1d2', 'e4d2', 'c1d2', 'f8e7', 'f1d3', 'd7d6', 'e1g1', 'a7a5', 'f1e1', 'e8g8', 'c2c3', 'b8d7', 'd1c2', 'g7g6', 'd2h6', 'd7f6', 'h6f8', 'g8f8', 'a2a4', 'c8d7', 'd3f1', 'f8g7', 'a1d1', 'h7h5', 'h2h3', 'd7c6', 'c2e2', 'c6a4', 'd1a1', 'a4c6']",r2q4/1pp1bpk1/2bppnp1/p6p/3P4/2P2N1P/1P2QPP1/R3RBK1 w - - 2 19,1200,1200,"{'type': 'cp', 'value': -123}"
gpt-3.5-turbo-instruct,stockfish,0.0,61.863639696,,"['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'f8c5', 'b2b4', 'c5b4', 'c2c3', 'b4f8', 'e1g1', 'a7a6', 'd2d4', 'e5d4', 'c3d4', 'g8f6', 'c4f7', 'e8f7', 'f3g5', 'f7e8', 'd1b3', 'd7d5', 'f1e1', 'f8e7', 'e4d5', 'f6d5', 'b1c3', 'c6d4', 'b3d5', 'd8d5', 'c3d5', 'e8d7', 'd5e7', 'b7b5', 'a1b1', 'h8e8', 'e7d5', 'e8e1']",r1b5/2pk2pp/p7/1p1N2N1/3n4/8/P4PPP/1RB1r1K1 w - - 0 20,1200,1200,
gpt-3.5-turbo-instruct,stockfish,0,52.89427089099996,No valid suggestions: |,"['e2e4', 'd7d5', 'b1c3', 'g8f6', 'e4e5', 'f6g8', 'd2d4', 'a7a6', 'f2f4', 'g8h6', 'g1f3', 'e7e6', 'c1e3', 'c8d7', 'f1d3', 'f8e7', 'e1g1', 'b8c6', 'f3d2', 'g7g6', 'd1e2', 'e8g8', 'c3d1', 'c6b4', 'd1f2', 'c7c5', 'c2c3', 'h6f5', 'd3f5', 'a6a5', 'f5b1', 'd7a4', 'b1c2', 'b4c2']",r2q1rk1/1p2bp1p/4p1p1/p1ppP3/b2P1P2/2P1B3/PPnNQNPP/R4RK1 w - - 0 18,1175.0,1175.0,"{'type': 'cp', 'value': -10}"
gpt-3.5-turbo-instruct,stockfish,0,65.510452816,No valid suggestions: || | Qd4 Qxb5,"['e2e4', 'd7d6', 'd2d4', 'c7c5', 'g1f3', 'c8g4', 'f1e2', 'c5d4', 'f3d4', 'g4c8', 'e1g1', 'g8f6', 'b1c3', 'e7e6', 'd1d3', 'b8c6', 'c1e3', 'c6d4', 'e3d4', 'f8e7', 'f2f4', 'e8g8', 'a1d1', 'b7b6', 'e2f3', 'd8c7', 'g1h1', 'a8b8', 'c3b5', 'c7d7', 'c2c4', 'c8a6', 'a2a4', 'a6b5', 'a4b5', 'b8d8', 'g2g4', 'd7c8', 'g4g5', 'f6d7', 'b2b4', 'd7e5', 'f4e5', 'd6e5', 'd4e5', 'd8d3', 'd1d3', 'c8c4', 'f1d1', 'e7g5', 'e5d6', 'f8d8', 'e4e5', 'g7g6']",3r2k1/p4p1p/1p1Bp1p1/1P2P1b1/1Pq5/3R1B2/7P/3R3K w - - 0 28,1175.0,1175.0,"{'type': 'cp', 'value': -472}"
stockfish,gpt-3.5-turbo-instruct,1,46.18722002499999,No valid suggestions: |,"['g1f3', 'c7c5', 'd2d4', 'c5d4', 'f3d4', 'g8f6', 'c2c4', 'b8c6', 'b1c3', 'e7e6', 'e2e4', 'f8b4', 'd4c6', 'd7c6', 'c1d2', 'e8g8', 'f1e2', 'd8d6', 'd1c2', 'e6e5', 'a2a3', 'b4c5', 'c3a4', 'c8g4', 'a4c5', 'd6c5', 'd2b4', 'c5d4', 'a1d1', 'd4e4', 'c2e4', 'f6e4', 'e2g4']",r4rk1/pp3ppp/2p5/4p3/1BP1n1B1/P7/1P3PPP/3RK2R b K - 0 17,1175.0,1175.0,"{'type': 'cp', 'value': 414}"
stockfish,gpt-3.5-turbo-instruct,1,41.802902338999985,No valid suggestions: |,"['d2d4', 'g8f6', 'e2e3', 'e7e6', 'a2a3', 'c7c5', 'd4c5', 'f8c5', 'b2b4', 'c5e7', 'c2c4', 'e8g8', 'c1b2', 'b7b6', 'h2h3', 'c8b7', 'g1e2', 'b8c6', 'b1c3', 'a8c8', 'a1c1', 'd7d5', 'e2g3', 'c6a5', 'b4a5', 'b6a5', 'f1e2', 'e7c5', 'c3a4', 'c5d6', 'b2f6', 'd8f6', 'e1g1']",2r2rk1/pb3ppp/3bpq2/p2p4/N1P5/P3P1NP/4BPP1/2RQ1RK1 b - - 1 17,1175.0,1175.0,"{'type': 'cp', 'value': 177}"
gpt-3.5-turbo-instruct,stockfish,0,62.128281026000025,"No valid suggestions: || | Reti Opening
e5","['e2e4', 'd7d6', 'd2d4', 'e7e6', 'b1c3', 'c8d7', 'g1f3', 'g8f6', 'f1d3', 'a7a6', 'e1g1', 'c7c5', 'f1e1', 'c5d4', 'f3d4', 'f8e7', 'c1g5', 'h7h6', 'g5h4', 'd8b6', 'd4b3', 'e8g8', 'e4e5', 'd6e5', 'e1e5', 'b8c6', 'e5e3', 'a8d8', 'd1e2', 'f8e8', 'a1e1', 'c6b4', 'h4f6', 'e7f6', 'e2g4', 'f6c3', 'b2c3', 'b4d5', 'e3g3', 'g7g5', 'g4h5', 'g8g7', 'h2h4', 'd5f6', 'h5f3', 'd7c6']",3rr3/1p3pk1/pqb1pn1p/6p1/7P/1NPB1QR1/P1P2PP1/4R1K1 w - - 3 24,1175.0,1175.0,"{'type': 'cp', 'value': 201}"
