white,black,result,time,illegal_move,moves,fen,white_elo,black_elo,eval
stockfish,gpt-3.5-turbo-instruct,1,62.550648292000005,No valid suggestions: || cxd5 19,"['e2e4', 'e7e5', 'f1c4', 'f8c5', 'd2d3', 'g8f6', 'c1g5', 'b8c6', 'b1d2', 'd7d6', 'c4b5', 'e8g8', 'g1f3', 'c8g4', 'h2h3', 'g4h5', 'c2c3', 'h7h6', 'g5h4', 'g7g5', 'h4g3', 'c6e7', 'b2b4', 'c5b6', 'h3h4', 'g5g4', 'f3g5', 'h5g6', 'a2a3', 'a7a6', 'b5c4', 'c7c6', 'd1e2', 'd6d5', 'c4b3']",r2q1rk1/1p2np2/pbp2nbp/3pp1N1/1P2P1pP/PBPP2B1/3NQPP1/R3K2R b KQ - 1 18,1200,1200,"{'type': 'cp', 'value': -173}"
stockfish,gpt-3.5-turbo-instruct,1,40.581790136,No valid suggestions: |,"['e2e4', 'e7e5', 'f1c4', 'f8c5', 'd2d3', 'g8f6', 'b1c3', 'e8g8', 'a2a3', 'b8c6', 'b2b4', 'c5b6', 'c4a2', 'c6d4', 'g1e2', 'c7c6', 'c1g5', 'f6g4', 'g5d8', 'd4f3', 'g2f3', 'b6f2', 'e1d2', 'a7a5', 'd8g5', 'h7h5', 'f3g4', 'f2c5', 'b4c5']",r1b2rk1/1p1p1pp1/2p5/p1P1p1Bp/4P1P1/P1NP4/B1PKN2P/R2Q3R b - - 0 15,1200,1200,"{'type': 'cp', 'value': 1281}"
gpt-3.5-turbo-instruct,stockfish,0,70.39835266399999,No valid suggestions: | || |23,"['e2e4', 'e7e6', 'g1f3', 'd7d5', 'b1c3', 'a7a6', 'd2d4', 'g8f6', 'f1d3', 'd5e4', 'c3e4', 'b8c6', 'c2c3', 'f6e4', 'd3e4', 'c8d7', 'e1g1', 'f8d6', 'f1e1', 'h7h6', 'f3e5', 'd6e5', 'd4e5', 'f7f5', 'd1h5', 'e8e7', 'e4d3', 'e7f8', 'c1f4', 'g7g5', 'f4c1', 'd8e7', 'c1g5', 'e7g5', 'h5g5', 'h6g5', 'g2g3', 'a6a5', 'g1f1', 'h8h2', 'f1e2', 'g5g4']",r4k2/1ppb4/2n1p3/p3Pp2/6p1/2PB2P1/PP2KP1r/R3R3 w - - 0 22,1200,1200,"{'type': 'cp', 'value': -566}"
stockfish,gpt-3.5-turbo-instruct,1,70.1979199,No valid suggestions: || ,"['g1f3', 'g8f6', 'g2g3', 'g7g6', 'd2d3', 'f8g7', 'c2c3', 'e8g8', 'f1h3', 'd7d5', 'f3g1', 'b8c6', 'b1a3', 'd8d6', 'a3b5', 'd6d8', 'b5d4', 'c6b8', 'd4f3', 'f6g4', 'h3g4', 'c8g4', 'c1e3', 'c7c6', 'd1d2', 'e7e5', 'h2h4', 'e5e4', 'f3d4', 'c6c5', 'd4b3', 'b7b6', 'h4h5', 'g4h5', 'e3g5', 'f7f6', 'd3e4', 'd5e4', 'd2d8', 'f8d8', 'g5e3', 'h5g4', 'h1h4', 'f6f5', 'h4h1']",rn1r2k1/p5bp/1p4p1/2p2p2/4p1b1/1NP1B1P1/PP2PP2/R3K1NR b Q - 1 23,1200,1200,"{'type': 'cp', 'value': -257}"
gpt-3.5-turbo-instruct,stockfish,0,70.94648292800001,No valid suggestions: |½-½| Bg5 Rc4 || | Rxc2 Rc4 ,"['e2e4', 'd7d5', 'e4d5', 'e7e6', 'd5e6', 'c8e6', 'g1f3', 'b8c6', 'd2d4', 'a7a6', 'c2c4', 'e6g4', 'f1e2', 'f8b4', 'b1c3', 'b4c3', 'b2c3', 'd8d7', 'e1g1', 'e8c8', 'a1b1', 'd8e8', 'd1b3', 'c6a5', 'b3d1', 'g8f6', 'f3e5', 'e8e5', 'd4e5', 'd7d1', 'e2d1', 'g4f5', 'b1a1', 'f6e4', 'd1c2', 'h8e8', 'c1f4', 'g7g5', 'c2e4', 'f5e4', 'f4g5', 'e8e5', 'g5f4', 'e5f5', 'f4g3', 'e4c2', 'f2f3', 'f5c5', 'g3f2', 'c5c4', 'f2d4', 'c7c5', 'd4f6', 'c8d7', 'f6h4', 'c4h4']",8/1p1k1p1p/p7/n1p5/7r/2P2P2/P1b3PP/R4RK1 w - - 0 29,1200,1200,"{'type': 'cp', 'value': -298}"
stockfish,gpt-3.5-turbo-instruct,1,34.781530757,No valid suggestions: |,"['d2d4', 'g8f6', 'e2e3', 'g7g6', 'c2c4', 'f8g7', 'a2a3', 'e8g8', 'b1c3', 'd7d6', 'f1d3', 'b8d7', 'g1e2', 'e7e5', 'e1g1', 'f8e8', 'b2b4', 'c7c6', 'd1c2', 'a7a5', 'b4b5', 'c6b5', 'c3b5', 'd8b6', 'e2c3']",r1b1r1k1/1p1n1pbp/1q1p1np1/pN2p3/2PP4/P1NBP3/2Q2PPP/R1B2RK1 b - - 2 13,1250,1250,"{'type': 'cp', 'value': 191}"
gpt-3.5-turbo-instruct,stockfish,0,53.17535313399999,No valid suggestions: | |,"['g1f3', 'd7d6', 'd2d4', 'd6d5', 'c2c4', 'e7e6', 'b1c3', 'g8f6', 'c1g5', 'f8e7', 'e2e3', 'e8g8', 'd1c2', 'd5c4', 'f1c4', 'c7c5', 'e1e2', 'c8d7', 'a1d1', 'd8c7', 'a2a3', 'c5d4', 'f3d4', 'c7c4', 'e2d2', 'c4a6', 'd2c1', 'b8c6', 'g5f6', 'g7f6', 'c1b1', 'c6e5', 'g2g4', 'e5g4', 'd1g1', 'a8c8', 'g1g4', 'g8h8', 'c2e4', 'f6f5', 'e4e5', 'f7f6', 'e5g3', 'e6e5', 'g3g2', 'a6d3', 'b1a1', 'f5g4', 'g2d5', 'd7c6', 'd5e6', 'c6h1']",2r2r1k/pp2b2p/4Qp2/4p3/3N2p1/P1NqP3/1P3P1P/K6b w - - 0 27,1250,1250,"{'type': 'cp', 'value': -879}"
stockfish,gpt-3.5-turbo-instruct,1,12.073024950000004,No valid suggestions: |,"['d2d4', 'g8f6', 'g1f3', 'g7g6', 'a2a3', 'd7d6', 'e2e3']",rnbqkb1r/ppp1pp1p/3p1np1/8/3P4/P3PN2/1PP2PPP/RNBQKB1R b KQkq - 0 4,1250,1250,"{'type': 'cp', 'value': 3}"
gpt-3.5-turbo-instruct,stockfish,0.0,40.373044776,,"['e2e4', 'e7e6', 'd2d4', 'd7d6', 'g1f3', 'a7a6', 'c2c4', 'f8e7', 'b1c3', 'b7b6', 'f1d3', 'g8f6', 'e1g1', 'c7c5', 'd4c5', 'd6c5', 'e4e5', 'f6g4', 'h2h3', 'h7h5', 'h3g4', 'h5g4', 'f3h2', 'f7f5', 'e5f6', 'g7f6', 'h2g4', 'f6f5', 'g4e5', 'b8d7', 'e5c6', 'd8c7', 'c6e7', 'c7h2']",r1b1k2r/3nN3/pp2p3/2p2p2/2P5/2NB4/PP3PPq/R1BQ1RK1 w kq - 1 18,1250,1250,
gpt-3.5-turbo-instruct,stockfish,0,59.07045548000001,No valid suggestions: | |,"['e2e4', 'e7e6', 'd2d4', 'c7c5', 'g1f3', 'a7a6', 'c2c3', 'c5d4', 'f3d4', 'g8f6', 'b1d2', 'd7d6', 'f1d3', 'd8c7', 'e1g1', 'e6e5', 'd4f5', 'c8f5', 'e4f5', 'f8e7', 'd2e4', 'f6e4', 'd3e4', 'e8g8', 'c1e3', 'f8c8', 'd1b3', 'b8c6', 'e4d5', 'c6a5', 'b3b6', 'a8b8', 'f2f4', 'c7d8', 'b6d8', 'e7d8', 'f4e5', 'd6e5', 'f5f6', 'g7f6', 'a1d1', 'g8g7', 'g2g4', 'a5c4', 'e3c1', 'h7h6', 'b2b3', 'd8b6', 'g1g2', 'c4d6', 'c3c4', 'b6c5', 'g4g5', 'f6g5', 'b3b4', 'c5b4', 'd5f7', 'd6f7', 'd1d7', 'c8c4', 'c1b2', 'c4c2', 'g2h1', 'g7h8']",1r5k/1p1R1n2/p6p/4p1p1/1b6/8/PBr4P/5R1K w - - 4 33,1250,1250,"{'type': 'cp', 'value': -450}"
